Vec2(0.75, 0.57) ; fairly far from the middle of the left edge of the table
Vec2(0.00, 0.02) ; not very far from the left edge of the table
Vec2(0.40, 1.78) ; far from the near edge of the table
Vec2(0.29, 1.23) ; near the center of the table
Vec2(0.29, 1.94) ; rather near the far edge of the table
Vec2(0.42, 1.27) ; nearly at the center of the left edge of the table
Vec2(0.65, 0.98) ; very close to the middle of the table
Vec2(0.25, 0.68) ; really far from the far end of the table
Vec2(0.64, 1.13) ; really far from the far edge of the table
Vec2(0.14, 0.47) ; very far from the center of the left edge of the table
Vec2(0.23, 1.70) ; not very close to the other end of the table
Vec2(0.52, 1.31) ; really close to the center of the table
Vec2(0.40, 1.24) ; quite far from the middle of the table
Vec2(0.07, 0.17) ; not rather far from the left edge of the table
Vec2(0.71, 1.43) ; not squarely at the right side of the far edge of the table
Vec2(0.28, 0.63) ; near the left edge of the table
Vec2(0.65, 1.47) ; not rather far from the right edge of the table
Vec2(0.99, 0.28) ; squarely at the right edge of the table
Vec2(0.43, 0.47) ; very close to the middle of the table
Vec2(0.33, 1.05) ; rather far from the near edge of the table
Vec2(0.26, 1.40) ; really far from the left edge of the table
Vec2(0.34, 0.35) ; really far from the lower right corner of the table
Vec2(0.64, 1.19) ; really far from the far end of the table
Vec2(0.14, 0.48) ; pretty close to the left side of the table
Vec2(0.89, 1.04) ; not far from the middle of the table
Vec2(0.78, 1.06) ; at the right side of the table
Vec2(0.45, 1.75) ; quite close to the middle of the table
Vec2(0.04, 0.53) ; not rather far from the left edge of the table
Vec2(0.86, 1.38) ; squarely at the right side of the table
Vec2(0.31, 1.87) ; not very near the my end of the table
Vec2(0.36, 0.99) ; rather close to the middle of the table
Vec2(0.07, 1.90) ; very near the far end of the table
Vec2(0.34, 1.33) ; quite far from the center of the left edge of the table
Vec2(0.24, 0.63) ; at the left side of the table
Vec2(0.36, 0.04) ; not near the near end of the left edge of the table
Vec2(0.60, 0.81) ; pretty near the center of the right edge of the table
Vec2(0.20, 0.91) ; not at the center of the far edge of the table
Vec2(0.97, 0.88) ; quite near the right side of the table
Vec2(0.95, 0.29) ; somewhat close to the right side of the table
Vec2(0.06, 1.02) ; fairly near the center of the table
Vec2(0.53, 1.15) ; quite far from the middle of the right edge of the table
Vec2(0.49, 0.12) ; not rather far from the middle of the table
Vec2(0.44, 0.52) ; not far from the center of the table
Vec2(0.20, 0.90) ; not rather near the other end of the table
Vec2(0.71, 1.98) ; at the that end of the table
Vec2(0.11, 1.12) ; really far from the middle of the left edge of the table
Vec2(0.93, 1.35) ; not rather far from the right edge of the table
Vec2(0.98, 0.23) ; fairly near the right edge of the table
Vec2(0.97, 1.61) ; not rather far from the right side of the table
Vec2(0.05, 0.44) ; quite far from the this end of the right edge of the table
Vec2(0.83, 0.62) ; fairly close to the center of the table
Vec2(0.68, 0.49) ; not near the right edge of the table
Vec2(0.42, 0.13) ; squarely at the near end of the table
Vec2(0.78, 0.38) ; not rather far from the lower right corner of the table
Vec2(0.18, 0.61) ; somewhat close to the left side of the table
Vec2(0.01, 0.78) ; not rather far from the left side of the table
Vec2(0.68, 1.39) ; not rather close to the center of the table
Vec2(0.14, 1.72) ; not rather far from the far end of the left edge of the table
Vec2(0.80, 1.18) ; very far from the left side of the near edge of the table
Vec2(0.42, 1.22) ; not rather far from the middle of the table
Vec2(0.87, 1.86) ; really near the far end of the table
Vec2(0.36, 1.48) ; not really near the center of the table
Vec2(0.38, 1.13) ; somewhat far from the far edge of the table
Vec2(0.27, 0.35) ; not rather close to the far end of the right edge of the table
Vec2(0.22, 1.76) ; nearly at the left edge of the table
Vec2(0.44, 0.66) ; not far from the middle of the table
Vec2(0.42, 0.71) ; not rather close to the left side of the far edge of the table
Vec2(0.97, 1.58) ; not rather close to the lower left corner of the table
Vec2(0.24, 0.60) ; really far from the upper right corner of the table
Vec2(0.84, 0.35) ; really far from the right side of the table
Vec2(0.85, 0.55) ; not rather near the far end of the table
Vec2(0.66, 0.13) ; near the near end of the table
Vec2(0.07, 0.07) ; squarely at the lower left corner of the table
Vec2(0.63, 0.17) ; quite far from the near edge of the table
Vec2(0.62, 0.46) ; not far from the near end of the right edge of the table
Vec2(0.25, 1.08) ; near the left edge of the table
Vec2(0.99, 1.01) ; at the center of the table
Vec2(0.61, 2.00) ; really near the other end of the table
Vec2(0.71, 0.61) ; rather close to the right side of the table
Vec2(0.26, 1.15) ; quite far from the center of the table
Vec2(0.50, 1.47) ; not quite far from the center of the table
Vec2(0.19, 2.00) ; really near the far end of the table
Vec2(0.15, 0.60) ; not far from the left edge of the table
Vec2(0.16, 1.27) ; really far from the center of the table
Vec2(0.80, 1.52) ; not quite near the left edge of the table
Vec2(0.86, 0.51) ; not very near the right side of the near edge of the table
Vec2(0.30, 1.48) ; not far from the center of the table
Vec2(0.75, 0.75) ; pretty near the center of the right edge of the table
Vec2(0.70, 1.78) ; close to the middle of the far edge of the table
Vec2(0.02, 1.94) ; squarely at the upper left corner of the table
Vec2(0.97, 1.02) ; squarely at the right edge of the table
Vec2(0.08, 1.81) ; nearly at the other end of the table
Vec2(0.69, 0.55) ; fairly far from the lower left corner of the table
Vec2(0.28, 0.36) ; really far from the center of the left edge of the table
Vec2(0.10, 0.46) ; fairly close to the left side of the table
Vec2(0.19, 0.13) ; very far from the center of the near edge of the table
Vec2(0.94, 1.17) ; almost at the right side of the table
Vec2(0.19, 1.51) ; really far from the other end of the left edge of the table
Vec2(0.12, 0.05) ; very far from the this end of the left edge of the table
Vec2(0.68, 1.69) ; nearly at the center of the table
Vec2(0.68, 0.67) ; near the center of the table
Vec2(0.01, 0.88) ; somewhat close to the left side of the table
Vec2(0.98, 0.92) ; very close to the right side of the table
Vec2(0.36, 1.77) ; not really close to the right edge of the table
Vec2(0.85, 1.49) ; pretty near the right edge of the table
Vec2(0.87, 1.67) ; not far from the that end of the right edge of the table
Vec2(0.12, 1.14) ; rather close to the left side of the table
Vec2(0.91, 1.38) ; very far from the near edge of the table
Vec2(0.65, 0.13) ; quite far from the my end of the left edge of the table
Vec2(0.06, 0.64) ; really far from the lower left corner of the table
Vec2(0.57, 1.99) ; at the far edge of the table
Vec2(0.42, 2.00) ; not really far from the far end of the table
Vec2(0.34, 1.54) ; not very close to the center of the table
Vec2(0.89, 0.60) ; really near the right side of the table
Vec2(0.31, 0.88) ; really close to the middle of the table
Vec2(0.74, 0.41) ; near the right side of the table
Vec2(0.25, 1.69) ; not rather close to the that end of the table
Vec2(0.21, 0.43) ; not at the lower left corner of the table
Vec2(0.23, 1.45) ; not rather far from the left edge of the table
Vec2(0.31, 0.59) ; not far from the center of the table
Vec2(0.08, 0.65) ; not at the this end of the left edge of the table
Vec2(0.91, 1.67) ; at the right side of the table
Vec2(0.71, 0.76) ; not really close to the left side of the near edge of the table
Vec2(0.13, 1.13) ; quite near the left side of the table
Vec2(0.66, 0.63) ; not squarely at the center of the left edge of the table
Vec2(0.88, 1.79) ; pretty near the that end of the right edge of the table
Vec2(0.46, 1.70) ; at the middle of the table
Vec2(0.80, 1.81) ; somewhat close to the right edge of the table
Vec2(0.43, 0.51) ; fairly close to the middle of the table
Vec2(0.50, 1.49) ; at the middle of the table
Vec2(0.75, 1.49) ; near the right side of the table
Vec2(0.72, 0.85) ; not close to the left side of the table
Vec2(0.52, 1.02) ; almost at the middle of the table
Vec2(0.35, 0.34) ; not far from the right edge of the table
Vec2(0.99, 1.17) ; at the right edge of the table
Vec2(0.83, 1.29) ; very far from the center of the right edge of the table
Vec2(0.52, 1.43) ; somewhat close to the right edge of the table
Vec2(0.01, 1.52) ; not quite far from the left edge of the table
Vec2(0.58, 1.07) ; not close to the lower right corner of the table
Vec2(0.07, 1.34) ; not rather far from the left edge of the table
Vec2(0.55, 1.36) ; fairly close to the middle of the table
Vec2(0.41, 1.97) ; not far from the far end of the table
Vec2(0.97, 1.50) ; near the right side of the table
Vec2(0.20, 0.41) ; somewhat close to the left edge of the table
Vec2(0.18, 0.65) ; not very close to the other end of the table
Vec2(0.38, 1.06) ; not rather far from the middle of the table
Vec2(0.93, 1.51) ; not rather far from the right side of the table
Vec2(0.98, 0.63) ; not far from the right edge of the table
Vec2(0.19, 1.48) ; not squarely at the center of the table
Vec2(0.23, 0.08) ; not quite far from the near edge of the table
Vec2(0.55, 0.95) ; squarely at the center of the table
Vec2(0.18, 1.64) ; quite far from the far end of the left edge of the table
Vec2(0.55, 1.53) ; fairly close to the center of the far edge of the table
Vec2(0.46, 0.70) ; not rather far from the middle of the table
Vec2(0.58, 0.36) ; not quite far from the middle of the table
Vec2(0.34, 1.71) ; pretty near the center of the table
Vec2(0.56, 0.52) ; near the center of the table
Vec2(0.63, 1.51) ; somewhat far from the far end of the left edge of the table
Vec2(0.35, 0.28) ; very far from the middle of the right edge of the table
Vec2(0.77, 0.29) ; not near the right side of the far edge of the table
Vec2(0.20, 1.21) ; at the middle of the table
Vec2(0.44, 0.50) ; at the middle of the table
Vec2(0.05, 1.11) ; fairly close to the left edge of the table
Vec2(0.66, 0.88) ; at the middle of the table
Vec2(0.64, 0.20) ; rather near the near edge of the table
Vec2(0.42, 1.01) ; not very far from the middle of the table
Vec2(0.29, 0.19) ; not rather far from the my end of the left edge of the table
Vec2(0.50, 0.22) ; squarely at the center of the table
Vec2(0.44, 0.51) ; not far from the left side of the near edge of the table
Vec2(0.74, 1.27) ; very far from the upper right corner of the table
Vec2(0.43, 1.01) ; not near the center of the left edge of the table
Vec2(0.89, 1.74) ; near the right side of the table
Vec2(0.70, 1.46) ; rather far from the this end of the right edge of the table
Vec2(0.12, 0.49) ; quite close to the left edge of the table
Vec2(0.14, 1.32) ; not rather far from the left edge of the table
Vec2(0.90, 1.35) ; squarely at the right side of the table
Vec2(0.80, 1.52) ; not at the far edge of the table
Vec2(0.87, 0.01) ; quite close to the near end of the table
Vec2(0.96, 0.53) ; not far from the right edge of the table
Vec2(0.01, 1.49) ; close to the left edge of the table
Vec2(0.78, 0.51) ; pretty far from the that end of the table
Vec2(0.28, 0.89) ; not far from the center of the table
Vec2(0.71, 0.96) ; rather close to the middle of the table
Vec2(0.92, 0.91) ; not really far from the right edge of the table
Vec2(0.46, 0.11) ; rather close to the middle of the table
Vec2(0.94, 1.99) ; squarely at the far edge of the table
Vec2(0.32, 0.64) ; very far from the center of the table
Vec2(0.23, 1.64) ; not very near the left edge of the table
Vec2(0.95, 1.97) ; very near the far end of the right edge of the table
Vec2(0.07, 1.32) ; fairly near the left side of the table
Vec2(0.20, 1.96) ; not really far from the other end of the table
Vec2(0.68, 1.21) ; rather far from the upper left corner of the table
Vec2(0.43, 1.95) ; close to the center of the far edge of the table
Vec2(0.20, 1.00) ; not very far from the center of the table
Vec2(0.26, 1.72) ; nearly at the far edge of the table
Vec2(0.05, 1.91) ; pretty near the left side of the table
Vec2(0.20, 1.96) ; quite close to the far edge of the table
Vec2(0.77, 0.95) ; almost at the right side of the table
Vec2(0.57, 0.28) ; not at the lower left corner of the table
Vec2(0.26, 1.52) ; not squarely at the left side of the table
Vec2(0.31, 0.83) ; somewhat close to the middle of the table
Vec2(0.95, 0.78) ; not rather far from the right edge of the table
Vec2(0.39, 0.67) ; not rather far from the middle of the table
Vec2(0.63, 1.84) ; not far from the center of the table
Vec2(0.48, 1.48) ; squarely at the middle of the table
Vec2(0.73, 1.34) ; pretty far from the middle of the left edge of the table
Vec2(0.21, 1.83) ; not very close to the that end of the table
Vec2(0.63, 0.69) ; not rather far from the left side of the table
Vec2(0.74, 1.24) ; really far from the center of the table
Vec2(0.69, 0.73) ; not quite close to the left side of the table
Vec2(0.18, 1.12) ; almost at the middle of the table
Vec2(0.10, 1.20) ; at the left edge of the table
Vec2(0.22, 1.47) ; not very close to the far edge of the table
Vec2(0.72, 1.31) ; not far from the right edge of the table
Vec2(0.43, 0.65) ; fairly close to the left edge of the table
Vec2(0.52, 1.19) ; not quite far from the center of the table
Vec2(0.51, 0.08) ; very near the center of the table
Vec2(0.55, 0.06) ; somewhat near the near edge of the table
Vec2(0.25, 1.07) ; not close to the right side of the far edge of the table
Vec2(0.45, 0.59) ; not rather near the right side of the table
Vec2(0.34, 0.76) ; somewhat close to the center of the table
Vec2(0.10, 1.89) ; rather near the far edge of the table
Vec2(0.99, 1.55) ; not far from the right side of the table
Vec2(0.64, 1.84) ; not far from the right side of the far edge of the table
Vec2(0.70, 1.67) ; not far from the right edge of the table
Vec2(0.73, 1.40) ; somewhat far from the upper left corner of the table
Vec2(0.32, 1.91) ; quite far from the far end of the left edge of the table
Vec2(0.04, 0.98) ; almost at the center of the table
Vec2(0.47, 1.54) ; far from the lower right corner of the table
Vec2(0.72, 1.36) ; not rather far from the far edge of the table
Vec2(0.21, 1.22) ; very far from the right edge of the table
Vec2(0.28, 0.47) ; not very near the that end of the left edge of the table
Vec2(0.08, 1.69) ; at the left side of the table
Vec2(0.93, 1.91) ; quite close to the right edge of the table
Vec2(0.04, 1.00) ; quite near the center of the table
Vec2(0.81, 0.49) ; not quite close to the right side of the table
Vec2(0.50, 1.24) ; at the center of the table
Vec2(0.58, 1.59) ; not rather far from the middle of the table
Vec2(0.24, 0.72) ; very far from the middle of the table
Vec2(0.87, 1.13) ; rather close to the right side of the table
Vec2(0.11, 1.22) ; quite far from the left edge of the table
Vec2(0.90, 1.01) ; rather close to the middle of the table
Vec2(0.76, 1.23) ; somewhat close to the right edge of the table
Vec2(0.26, 0.13) ; pretty close to the near edge of the table
Vec2(0.39, 0.12) ; somewhat near the my end of the table
Vec2(0.62, 0.30) ; not really near the right side of the table
Vec2(0.39, 0.64) ; not rather far from the middle of the table
Vec2(0.03, 0.22) ; not really near the this end of the left edge of the table
Vec2(0.61, 1.78) ; very far from the left side of the far edge of the table
Vec2(0.06, 0.93) ; not rather far from the middle of the table
Vec2(0.65, 0.02) ; somewhat near the this end of the table
Vec2(0.93, 1.87) ; rather close to the right side of the far edge of the table
Vec2(0.78, 0.00) ; squarely at the this end of the table
Vec2(0.41, 0.64) ; rather near the middle of the table
Vec2(0.48, 1.48) ; very far from the left side of the table
Vec2(0.59, 0.75) ; somewhat near the middle of the table
Vec2(0.13, 1.91) ; not quite far from the far end of the table
Vec2(0.06, 1.04) ; rather near the left edge of the table
Vec2(0.63, 1.78) ; pretty near the center of the far edge of the table
Vec2(0.18, 0.12) ; pretty near the this end of the table
Vec2(0.12, 0.22) ; somewhat close to the near edge of the table
Vec2(0.75, 1.96) ; rather near the far edge of the table
Vec2(0.02, 0.81) ; pretty close to the left edge of the table
Vec2(0.69, 0.88) ; really far from the middle of the table
Vec2(0.84, 0.51) ; not rather near the left edge of the table
Vec2(0.88, 0.20) ; not far from the right edge of the table
Vec2(0.53, 0.89) ; squarely at the center of the table
Vec2(0.73, 1.54) ; pretty far from the upper left corner of the table
Vec2(0.29, 1.93) ; not quite far from the far edge of the table
Vec2(0.21, 0.22) ; not quite close to the near edge of the table
Vec2(0.52, 0.32) ; fairly near the center of the table
Vec2(0.15, 1.10) ; not rather far from the center of the table
Vec2(0.08, 1.35) ; almost at the left side of the table
Vec2(0.90, 1.14) ; not squarely at the middle of the right edge of the table
Vec2(0.23, 1.81) ; near the upper left corner of the table
Vec2(0.66, 0.32) ; quite far from the near edge of the table
Vec2(0.76, 1.38) ; not near the center of the table
Vec2(0.57, 1.20) ; quite near the middle of the table
Vec2(0.77, 1.86) ; really far from the that end of the table
Vec2(0.04, 1.19) ; not quite far from the left side of the table
Vec2(0.58, 0.46) ; squarely at the center of the table
Vec2(0.19, 1.82) ; not quite close to the left side of the table
Vec2(0.48, 1.82) ; not rather far from the left edge of the table
Vec2(0.94, 1.42) ; not quite far from the right edge of the table
Vec2(0.06, 1.88) ; squarely at the left side of the far edge of the table
Vec2(0.17, 1.90) ; at the far end of the table
Vec2(0.05, 0.38) ; pretty close to the left side of the table
Vec2(0.57, 0.72) ; somewhat far from the lower right corner of the table
Vec2(0.15, 1.74) ; really far from the middle of the far edge of the table
Vec2(0.30, 0.89) ; not very close to the left side of the table
Vec2(0.10, 0.21) ; somewhat near the center of the near edge of the table
Vec2(0.13, 0.28) ; not very close to the left side of the near edge of the table
Vec2(0.55, 1.03) ; not really far from the middle of the table
Vec2(0.45, 0.15) ; quite far from the near edge of the table
Vec2(0.81, 1.80) ; close to the right side of the table
Vec2(0.68, 1.98) ; not very far from the far edge of the table
Vec2(0.19, 0.63) ; close to the left edge of the table
Vec2(0.60, 1.11) ; not far from the far edge of the table
Vec2(0.27, 1.20) ; very far from the middle of the table
Vec2(0.70, 1.56) ; close to the right side of the table
Vec2(0.68, 1.83) ; not rather close to the left side of the table
Vec2(0.32, 1.66) ; fairly close to the center of the table
Vec2(0.28, 1.48) ; not really near the left side of the far edge of the table
Vec2(0.41, 1.44) ; fairly near the center of the table
Vec2(0.09, 0.45) ; fairly near the left edge of the table
Vec2(0.99, 1.01) ; very near the right edge of the table
Vec2(0.81, 0.95) ; rather near the middle of the table
Vec2(0.31, 0.05) ; rather near the near end of the table
Vec2(0.84, 0.48) ; not really close to the right side of the table
Vec2(0.80, 1.38) ; fairly close to the middle of the right edge of the table
Vec2(0.66, 1.92) ; not far from the far end of the table
Vec2(0.65, 1.72) ; very far from the left side of the table
Vec2(0.67, 0.28) ; not at the upper right corner of the table
Vec2(0.76, 1.18) ; somewhat near the center of the table
Vec2(0.33, 1.81) ; very far from the right side of the far edge of the table
Vec2(0.10, 0.15) ; somewhat near the near edge of the table
Vec2(0.58, 1.56) ; not very close to the far edge of the table
Vec2(0.35, 0.53) ; not squarely at the left side of the table
Vec2(0.72, 0.70) ; not rather far from the right side of the near edge of the table
Vec2(0.55, 0.74) ; not very far from the middle of the table
Vec2(0.76, 0.15) ; really close to the near edge of the table
Vec2(0.04, 1.40) ; not very far from the left side of the table
Vec2(1.00, 0.56) ; not far from the right side of the table
Vec2(0.32, 0.37) ; not squarely at the center of the table
Vec2(0.46, 0.44) ; squarely at the middle of the table
Vec2(0.56, 1.38) ; fairly near the center of the table
Vec2(0.73, 0.93) ; pretty close to the middle of the table
Vec2(0.43, 0.89) ; not very close to the center of the right edge of the table
Vec2(0.56, 0.80) ; somewhat far from the left side of the near edge of the table
Vec2(0.23, 0.85) ; not squarely at the center of the left edge of the table
Vec2(0.71, 0.20) ; not rather far from the center of the near edge of the table
Vec2(0.52, 1.19) ; nearly at the middle of the table
Vec2(0.64, 0.40) ; quite near the middle of the table
Vec2(0.64, 1.76) ; not far from the middle of the table
Vec2(0.03, 1.61) ; not very far from the left side of the table
Vec2(0.28, 0.30) ; not quite close to the right side of the near edge of the table
Vec2(0.76, 1.79) ; somewhat near the that end of the right edge of the table
Vec2(0.22, 1.81) ; at the far end of the table
Vec2(0.41, 0.47) ; not quite near the middle of the near edge of the table
Vec2(0.57, 1.22) ; really far from the right edge of the table
Vec2(0.80, 0.33) ; not near the middle of the near edge of the table
Vec2(0.01, 0.96) ; not really far from the left side of the table
Vec2(0.54, 0.17) ; not far from the center of the table
Vec2(0.95, 0.51) ; not at the center of the right edge of the table
Vec2(0.09, 0.22) ; at the my end of the table
Vec2(0.43, 1.98) ; rather close to the far end of the table
Vec2(1.00, 1.99) ; squarely at the right side of the table
Vec2(0.24, 0.87) ; really far from the center of the table
Vec2(0.66, 0.59) ; not at the near end of the right edge of the table
Vec2(0.26, 1.46) ; not rather close to the center of the left edge of the table
Vec2(0.98, 1.05) ; fairly near the right edge of the table
Vec2(0.37, 1.21) ; not really close to the center of the table
Vec2(0.26, 1.69) ; not very near the center of the table
Vec2(0.71, 1.50) ; pretty far from the left side of the far edge of the table
Vec2(0.36, 0.41) ; very far from the left side of the near edge of the table
Vec2(0.14, 0.02) ; pretty close to the near edge of the table
Vec2(0.98, 1.58) ; quite close to the right edge of the table
Vec2(0.25, 1.54) ; fairly close to the left side of the table
Vec2(0.93, 1.48) ; nearly at the right edge of the table
Vec2(0.10, 1.31) ; rather near the left side of the table
Vec2(0.49, 1.53) ; almost at the center of the table
Vec2(0.52, 0.81) ; not quite far from the middle of the table
Vec2(0.56, 1.89) ; squarely at the other end of the table
Vec2(0.28, 1.70) ; not very close to the middle of the table
Vec2(0.42, 0.92) ; not quite close to the near end of the left edge of the table
Vec2(0.09, 0.08) ; quite far from the my end of the left edge of the table
Vec2(0.28, 0.19) ; not rather far from the left side of the near edge of the table
Vec2(0.77, 1.06) ; almost at the middle of the table
Vec2(0.63, 1.12) ; not far from the middle of the right edge of the table
Vec2(0.43, 1.66) ; not far from the center of the table
Vec2(0.46, 1.00) ; very close to the middle of the table
Vec2(0.38, 0.91) ; somewhat near the center of the table
Vec2(0.65, 0.18) ; close to the middle of the table
Vec2(0.99, 1.55) ; really near the right side of the table
Vec2(0.46, 0.43) ; not far from the middle of the near edge of the table
Vec2(0.61, 0.52) ; quite far from the center of the table
Vec2(0.88, 1.52) ; not near the near edge of the table
Vec2(0.60, 1.75) ; not far from the center of the table
Vec2(0.88, 1.38) ; quite far from the right edge of the table
Vec2(0.70, 0.89) ; very far from the center of the table
Vec2(0.66, 0.98) ; close to the center of the table
Vec2(0.60, 1.64) ; not far from the left edge of the table
Vec2(0.88, 1.98) ; really near the that end of the table
Vec2(0.02, 0.31) ; not really far from the left side of the table
Vec2(0.89, 1.22) ; not far from the right side of the far edge of the table
Vec2(0.80, 1.66) ; not very close to the center of the far edge of the table
Vec2(0.87, 0.80) ; quite near the right edge of the table
Vec2(0.12, 1.94) ; not rather far from the that end of the left edge of the table
Vec2(0.51, 1.13) ; rather near the center of the table
Vec2(0.08, 0.26) ; rather close to the left edge of the table
Vec2(0.83, 1.19) ; not far from the middle of the right edge of the table
Vec2(0.76, 1.78) ; at the far edge of the table
Vec2(0.69, 0.88) ; really far from the left side of the near edge of the table
Vec2(0.63, 1.72) ; not far from the middle of the table
Vec2(0.43, 0.75) ; close to the center of the table
Vec2(0.49, 0.85) ; not really far from the middle of the table
Vec2(0.27, 1.94) ; pretty close to the far end of the table
Vec2(0.59, 1.79) ; not far from the far edge of the table
Vec2(0.40, 0.88) ; really far from the center of the table
Vec2(0.76, 1.00) ; pretty near the middle of the table
Vec2(0.98, 0.13) ; not rather far from the right side of the table
Vec2(0.32, 1.44) ; not near the that end of the table
Vec2(0.05, 1.36) ; not far from the left side of the table
Vec2(0.96, 1.78) ; at the right side of the table
Vec2(0.04, 0.78) ; near the left side of the table
Vec2(0.56, 1.22) ; not rather far from the center of the table
Vec2(0.70, 1.26) ; quite far from the right edge of the table
Vec2(0.52, 0.77) ; not really far from the middle of the table
Vec2(0.82, 1.43) ; very far from the middle of the far edge of the table
Vec2(0.60, 0.30) ; not quite far from the center of the table
Vec2(1.00, 0.84) ; at the right edge of the table
Vec2(0.07, 1.98) ; really far from the middle of the far edge of the table
Vec2(0.04, 0.00) ; at the near end of the table
Vec2(0.87, 1.09) ; rather near the center of the table
Vec2(0.44, 0.16) ; somewhat close to the near edge of the table
Vec2(0.26, 1.83) ; not really close to the far edge of the table
Vec2(0.89, 1.15) ; not squarely at the center of the table
Vec2(0.25, 0.04) ; almost at the near edge of the table
Vec2(0.40, 1.88) ; not rather far from the center of the table
Vec2(0.89, 0.43) ; almost at the right side of the table
Vec2(0.11, 1.91) ; really far from the left edge of the table
Vec2(0.12, 0.41) ; close to the left edge of the table
Vec2(0.90, 1.16) ; at the middle of the table
Vec2(0.85, 1.51) ; not quite near the center of the table
Vec2(0.93, 0.32) ; fairly near the right edge of the table
Vec2(0.16, 1.43) ; not very near the middle of the left edge of the table
Vec2(0.68, 1.71) ; not quite close to the center of the table
Vec2(0.32, 1.26) ; not very close to the center of the table
Vec2(0.88, 1.51) ; not really close to the far edge of the table
Vec2(1.00, 0.79) ; not quite far from the right side of the table
Vec2(0.42, 1.15) ; not squarely at the left side of the table
Vec2(0.93, 1.48) ; not far from the far end of the table
Vec2(0.62, 0.88) ; not at the center of the left edge of the table
Vec2(0.26, 1.92) ; rather near the other end of the table
Vec2(0.44, 1.55) ; not far from the center of the table
Vec2(0.53, 0.29) ; fairly far from the that end of the left edge of the table
Vec2(0.19, 0.65) ; really far from the left edge of the table
Vec2(0.85, 0.16) ; not far from the lower right corner of the table
Vec2(0.06, 1.73) ; not really near the middle of the near edge of the table
Vec2(0.11, 0.68) ; not rather far from the center of the table
Vec2(0.05, 1.44) ; not squarely at the center of the far edge of the table
Vec2(0.12, 1.34) ; not rather far from the center of the table
Vec2(0.18, 0.77) ; pretty near the left side of the table
Vec2(0.39, 1.89) ; really close to the center of the far edge of the table
Vec2(0.86, 1.83) ; fairly close to the right side of the table
Vec2(0.91, 0.13) ; somewhat near the near edge of the table
Vec2(0.46, 0.66) ; not very far from the center of the table
Vec2(0.49, 1.54) ; pretty close to the middle of the table
Vec2(0.78, 1.49) ; at the middle of the table
Vec2(0.41, 0.10) ; quite near the near edge of the table
Vec2(0.87, 0.62) ; somewhat close to the right edge of the table
Vec2(0.67, 1.03) ; rather close to the middle of the table
Vec2(0.02, 0.84) ; almost at the center of the table
Vec2(0.30, 0.26) ; not quite near the center of the near edge of the table
